position_title,company_name,company_category,recruit_provider,annual_salary,career,education,working_condition,location,deadline_date,registration_date
삼성서울병원 환자이송팀 직원 모집,㈜에스텍플러스,['중견'],정보제공처 잡코리아,"연봉 3,000 만원 ~ 3,300 만원",경력무관,학력무관,기타,서울 강남구,2026-09-03,2026-08-04
외투기업 및 국내기업 기장 및 세무신고 담당자 (경력 5년 이상),대현회계법인,[],정보제공처 잡코리아,"연봉 4,000 만원 ~ 4,000 만원",경력5년,대졸(2~3년),주5일,서울 강남구,2026-09-03,2026-08-04
"설계팀(기구,기계) 경력사원 모집",㈜라인시스템,[],정보제공처 잡코리아,"연봉 3,500 만원 ~ 7,000 만원",경력5년,학력무관,주5일,경기 고양시 덕양구 등,2026-08-10,2026-08-04
"[식품 커머스] 영어권 온라인MD 모집 / 알리바바,쇼피,아마존",투데이헬스케어,[],정보제공처 잡코리아,"연봉 3,400 만원 ~ 4,200 만원",경력2년,대졸(2~3년),주5일,서울 강남구,2026-09-03,2026-08-04
(주)앤서 GEO 컨설턴트 신입 채용 공고,(주)앤서,[],정보제공처 사람인,"연봉 3,000 만원 ~ 3,000 만원",신입,학력무관,,서울 강남구,2026-09-03,2026-08-04
"[강남역] 상반기 의료미용 마케팅 (일본, SNS etc.) - 경...",넥스트인사이트㈜,[],정보제공처 잡코리아,"연봉 3,000 만원 ~ 5,000 만원",경력무관,고졸,주5일,서울 강남구,2026-09-03,2026-08-04
[강남역] 피부과 영어/중국어/일본어 CS업무 담당자 모집,넥스트인사이트㈜,[],정보제공처 잡코리아,"연봉 3,440 만원 ~ 3,440 만원",신입/경력,고졸,주5일,서울 강남구,2026-09-03,2026-08-04
26년 8월 계약직(신입) - 영업지원(보험대차),롯데렌탈(주),"['대기업', '코스피', '가족']",정보제공처 인크루트,"연봉 2,788 만원 ~ 3,065 만원",신입,학력무관,주5일,서울,2026-08-09,2026-08-04
[강남구 세무사] 경력 3년이상 세무회계사무원 초빙합니다,세무회계그룹 홍익,[],정보제공처 인크루트,"연봉 3,500 만원 ~ 5,000 만원",경력3년,학력무관,주5일,서울 강남구,2026-09-03,2026-08-04
영업기획/영업관리/상품관리 신입 경력사원 채용,(주)블레스앤코,[],정보제공처 인크루트,"연봉 3,600 만원 ~ 3,800 만원",신입/경력2년,학력무관,주5일,서울 강남구,2026-09-03,2026-08-04
[(주)그린카]운영지원파트 영업지원 채용(강남구/12개월/육아휴직 ...,(주)그린카,['대기업'],정보제공처 커리어,"연봉 3,200 만원 ~ 3,400 만원",신입,대졸(2~3년),주5일,서울 강남구,2026-08-16,2026-08-04
[우수교육기업] 에듀플렉스 서초점 학습매니저 채용,넥스큐브코퍼레이션㈜,['가족'],정보제공처 잡코리아,"연봉 3,400 만원 ~ 3,400 만원",신입/경력,대졸(4년),주5일,서울 서초구 등,2026-08-17,2026-08-04
[초봉 3400만]우수교육기업 에듀플렉스 서초점,에듀플렉스,[],정보제공처 사람인,"연봉 3,400 만원 ~ 3,400 만원",경력무관,대졸(4년),,서울 강남구 등,2026-08-17,2026-08-04
연애테크회사 마케터/유튜브PD - 연애/심리 관심자 우대,럽디(주),[],정보제공처 사람인,"연봉 4,000 만원 ~ 4,000 만원",신입/경력2년,대졸(2~3년),주5일,서울 강남구 등,2026-09-03,2026-08-04
[연봉 3800만원~협상/평일근무] 대형 로펌회사 수행기사 채용합니...,(주)케이알잡,[],정보제공처 고용24,"연봉 3,800 만원 ~ 4,300 만원",경력5년,학력무관,주5일 주 40시간 근로 09:00 ~ 18:00,서울특별시 강남구 테헤란로,2026-08-17,2026-08-03
물류팀 배송 납품 직원 채용,주식회사부경SㆍM,[],정보제공처 고용24,"연봉 3,700 만원 ~ 4,000 만원",경력3년,학력무관,주5일 주 40시간 근로,서울특별시 강남구 도곡로,2026-09-02,2026-08-03
시설관리(기계/경력직/5교대근무)FN타워대치(구삼성생명대치타워-선릉...,제일엠앤이 (주),[],정보제공처 고용24,"연봉 3,400 만원 ~ 3,500 만원",경력2년,학력무관,주5일 주 40시간 근로,서울특별시 강남구 테헤란로,2026-08-19,2026-08-03
CS 담당자(1년 계약직) 채용(정규직 전환 가능),스마트푸드네트웍스 주식회사,['중견'],정보제공처 고용24,"연봉 2,600 만원 ~ 3,500 만원",경력1년,학력무관,주5일 주 40시간 근로 08:30 ~ 17:30,서울특별시 강남구 남부순환로,2026-08-31,2026-08-03
시설관리(전기/경력직/4교대)삼성제일빌딩,제일엠앤이 (주),[],정보제공처 고용24,"연봉 3,450 만원 ~ 3,500 만원",경력2년,학력무관,주5일 주 40시간 근로,서울특별시 강남구 테헤란로,2026-08-19,2026-08-03
"[강남/연봉6천이상] 관리소장 채용(전기기사, 정보통신기사, 소방1...",주식회사 휴먼이솔루션,[],정보제공처 고용24,"연봉 6,000 만원 ~ 6,000 만원",경력5년,학력무관,주5일 주 40시간 근로 08:30 ~ 18:00,서울특별시 강남구 논현로,2026-08-17,2026-08-03
(주)은성오엔씨 토목 견적 및 공무 업무 담당 신입 채용(서울 근무...,주식회사 은성오엔씨,[],정보제공처 고용24,"연봉 3,200 만원 ~ 3,500 만원",신입,대졸(2~3년) ~ 대졸(4년),주5일 주 40시간 근로 08:30 ~ 17:30,서울특별시 강남구 압구정로28길,2026-08-28,2026-08-03
대형화물차 운전직 모집,한성성업(주),[],정보제공처 고용24,"연봉 5,400 만원 ~ 6,000 만원",경력2년,학력무관,주5일 주 40시간 근로 02:00 ~ 11:00,서울특별시 강남구 영동대로138길,2026-08-27,2026-08-03
[토스페이먼츠] Sales Specialist 하반기 집중채용 (-...,토스페이먼츠,['대기업'],정보제공처 잡코리아,"연봉 3,600 만원 ~ 3,600 만원",신입/경력,학력무관,주5일,서울 강남구,2026-08-11,2026-08-03
주식회사 이사벨라에서 TIPS 전담 행정/운영 담당자를 찾고 있어요,주식회사 이사벨라,[],정보제공처 사람인,"연봉 3,500 만원 ~ 3,500 만원",경력무관,대졸(2~3년),,서울 강남구,2026-09-02,2026-08-03
[써브웨이] 하반기 직영점 정규직 매니저 모집,써브웨이 압구정로데오점,[],정보제공처 잡코리아,"연봉 3,300 만원 ~ 3,300 만원",경력무관,고졸,기타,서울 강남구 등,2026-09-02,2026-08-03
